id,Tên tỉnh,Tên tỉnh không dấu,Loại,Tên đầy đủ,Tên xã phường,Loại,slug,name_with_type,path,path_with_type,code,parent_code
267,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Minh Châu,xa,minh-chau,Xã Minh Châu,"Minh Châu, Hà Nội","Xã Minh Châu, Thành phố Hà Nội",267,11
523,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ngọc Hồi,xa,ngoc-hoi,Xã Ngọc Hồi,"Ngọc Hồi, Hà Nội","Xã Ngọc Hồi, Thành phố Hà Nội",523,11
779,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tây Mỗ,phuong,tay-mo,Phường Tây Mỗ,"Tây Mỗ, Hà Nội","Phường Tây Mỗ, Thành phố Hà Nội",779,11
1035,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phú Diễn,phuong,phu-dien,Phường Phú Diễn,"Phú Diễn, Hà Nội","Phường Phú Diễn, Thành phố Hà Nội",1035,11
1291,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tây Tựu,phuong,tay-tuu,Phường Tây Tựu,"Tây Tựu, Hà Nội","Phường Tây Tựu, Thành phố Hà Nội",1291,11
1547,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thượng Cát,phuong,thuong-cat,Phường Thượng Cát,"Thượng Cát, Hà Nội","Phường Thượng Cát, Thành phố Hà Nội",1547,11
1803,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Xuân Đỉnh,phuong,xuan-dinh,Phường Xuân Đỉnh,"Xuân Đỉnh, Hà Nội","Phường Xuân Đỉnh, Thành phố Hà Nội",1803,11
2059,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Xuân Phương,phuong,xuan-phuong,Phường Xuân Phương,"Xuân Phương, Hà Nội","Phường Xuân Phương, Thành phố Hà Nội",2059,11
2315,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đại Xuyên,xa,dai-xuyen,Xã Đại Xuyên,"Đại Xuyên, Hà Nội","Xã Đại Xuyên, Thành phố Hà Nội",2315,11
2571,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phương Liệt,phuong,phuong-liet,Phường Phương Liệt,"Phương Liệt, Hà Nội","Phường Phương Liệt, Thành phố Hà Nội",2571,11
2827,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tùng Thiện,phuong,tung-thien,Phường Tùng Thiện,"Tùng Thiện, Hà Nội","Phường Tùng Thiện, Thành phố Hà Nội",2827,11
3083,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đoài Phương,xa,doai-phuong,Xã Đoài Phương,"Đoài Phương, Hà Nội","Xã Đoài Phương, Thành phố Hà Nội",3083,11
3339,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Gia Lâm,xa,gia-lam,Xã Gia Lâm,"Gia Lâm, Hà Nội","Xã Gia Lâm, Thành phố Hà Nội",3339,11
3595,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Suối Hai,xa,suoi-hai,Xã Suối Hai,"Suối Hai, Hà Nội","Xã Suối Hai, Thành phố Hà Nội",3595,11
3851,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ba Vì,xa,ba-vi,Xã Ba Vì,"Ba Vì, Hà Nội","Xã Ba Vì, Thành phố Hà Nội",3851,11
4107,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Cổ Đô,xa,co-do,Xã Cổ Đô,"Cổ Đô, Hà Nội","Xã Cổ Đô, Thành phố Hà Nội",4107,11
4363,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hoàng Liệt,phuong,hoang-liet,Phường Hoàng Liệt,"Hoàng Liệt, Hà Nội","Phường Hoàng Liệt, Thành phố Hà Nội",4363,11
4619,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Lĩnh Nam,phuong,linh-nam,Phường Lĩnh Nam,"Lĩnh Nam, Hà Nội","Phường Lĩnh Nam, Thành phố Hà Nội",4619,11
4875,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tương Mai,phuong,tuong-mai,Phường Tương Mai,"Tương Mai, Hà Nội","Phường Tương Mai, Thành phố Hà Nội",4875,11
5131,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thanh Liệt,phuong,thanh-liet,Phường Thanh Liệt,"Thanh Liệt, Hà Nội","Phường Thanh Liệt, Thành phố Hà Nội",5131,11
5387,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đại Thanh,xa,dai-thanh,Xã Đại Thanh,"Đại Thanh, Hà Nội","Xã Đại Thanh, Thành phố Hà Nội",5387,11
5643,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thường Tín,xa,thuong-tin,Xã Thường Tín,"Thường Tín, Hà Nội","Xã Thường Tín, Thành phố Hà Nội",5643,11
5899,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ô Diên,xa,o-dien,Xã Ô Diên,"Ô Diên, Hà Nội","Xã Ô Diên, Thành phố Hà Nội",5899,11
6155,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Quảng Bị,xa,quang-bi,Xã Quảng Bị,"Quảng Bị, Hà Nội","Xã Quảng Bị, Thành phố Hà Nội",6155,11
6411,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Trần Phú,xa,tran-phu,Xã Trần Phú,"Trần Phú, Hà Nội","Xã Trần Phú, Thành phố Hà Nội",6411,11
6667,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Liên Minh,xa,lien-minh,Xã Liên Minh,"Liên Minh, Hà Nội","Xã Liên Minh, Thành phố Hà Nội",6667,11
6923,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thư Lâm,xa,thu-lam,Xã Thư Lâm,"Thư Lâm, Hà Nội","Xã Thư Lâm, Thành phố Hà Nội",6923,11
7179,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đông Anh,xa,dong-anh,Xã Đông Anh,"Đông Anh, Hà Nội","Xã Đông Anh, Thành phố Hà Nội",7179,11
7435,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phú Xuyên,xa,phu-xuyen,Xã Phú Xuyên,"Phú Xuyên, Hà Nội","Xã Phú Xuyên, Thành phố Hà Nội",7435,11
7691,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Quảng Oai,xa,quang-oai,Xã Quảng Oai,"Quảng Oai, Hà Nội","Xã Quảng Oai, Thành phố Hà Nội",7691,11
7947,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Dương Hòa,xa,duong-hoa,Xã Dương Hòa,"Dương Hòa, Hà Nội","Xã Dương Hòa, Thành phố Hà Nội",7947,11
8203,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phúc Thịnh,xa,phuc-thinh,Xã Phúc Thịnh,"Phúc Thịnh, Hà Nội","Xã Phúc Thịnh, Thành phố Hà Nội",8203,11
8459,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Vĩnh Thanh,xa,vinh-thanh,Xã Vĩnh Thanh,"Vĩnh Thanh, Hà Nội","Xã Vĩnh Thanh, Thành phố Hà Nội",8459,11
8715,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thiên Lộc,xa,thien-loc,Xã Thiên Lộc,"Thiên Lộc, Hà Nội","Xã Thiên Lộc, Thành phố Hà Nội",8715,11
8971,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Quang Minh,xa,quang-minh,Xã Quang Minh,"Quang Minh, Hà Nội","Xã Quang Minh, Thành phố Hà Nội",8971,11
9227,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hương Sơn,xa,huong-son,Xã Hương Sơn,"Hương Sơn, Hà Nội","Xã Hương Sơn, Thành phố Hà Nội",9227,11
9483,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Mê Linh,xa,me-linh,Xã Mê Linh,"Mê Linh, Hà Nội","Xã Mê Linh, Thành phố Hà Nội",9483,11
9739,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tiến Thắng,xa,tien-thang,Xã Tiến Thắng,"Tiến Thắng, Hà Nội","Xã Tiến Thắng, Thành phố Hà Nội",9739,11
9995,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Yên Lãng,xa,yen-lang,Xã Yên Lãng,"Yên Lãng, Hà Nội","Xã Yên Lãng, Thành phố Hà Nội",9995,11
10251,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Mỹ Đức,xa,my-duc,Xã Mỹ Đức,"Mỹ Đức, Hà Nội","Xã Mỹ Đức, Thành phố Hà Nội",10251,11
10507,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Định Công,phuong,dinh-cong,Phường Định Công,"Định Công, Hà Nội","Phường Định Công, Thành phố Hà Nội",10507,11
10763,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Bất Bạt,xa,bat-bat,Xã Bất Bạt,"Bất Bạt, Hà Nội","Xã Bất Bạt, Thành phố Hà Nội",10763,11
11019,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Vật Lại,xa,vat-lai,Xã Vật Lại,"Vật Lại, Hà Nội","Xã Vật Lại, Thành phố Hà Nội",11019,11
11275,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Yên Bài,xa,yen-bai,Xã Yên Bài,"Yên Bài, Hà Nội","Xã Yên Bài, Thành phố Hà Nội",11275,11
11531,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Chương Mỹ,phuong,chuong-my,Phường Chương Mỹ,"Chương Mỹ, Hà Nội","Phường Chương Mỹ, Thành phố Hà Nội",11531,11
11787,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Xuân Mai,xa,xuan-mai,Xã Xuân Mai,"Xuân Mai, Hà Nội","Xã Xuân Mai, Thành phố Hà Nội",11787,11
12043,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phú Nghĩa,xa,phu-nghia,Xã Phú Nghĩa,"Phú Nghĩa, Hà Nội","Xã Phú Nghĩa, Thành phố Hà Nội",12043,11
12299,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Yên Xuân,xa,yen-xuan,Xã Yên Xuân,"Yên Xuân, Hà Nội","Xã Yên Xuân, Thành phố Hà Nội",12299,11
12555,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phúc Lợi,phuong,phuc-loi,Phường Phúc Lợi,"Phúc Lợi, Hà Nội","Phường Phúc Lợi, Thành phố Hà Nội",12555,11
12811,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Việt Hưng,phuong,viet-hung,Phường Việt Hưng,"Việt Hưng, Hà Nội","Phường Việt Hưng, Thành phố Hà Nội",12811,11
13067,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hòa Lạc,xa,hoa-lac,Xã Hòa Lạc,"Hòa Lạc, Hà Nội","Xã Hòa Lạc, Thành phố Hà Nội",13067,11
13323,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thanh Oai,xa,thanh-oai,Xã Thanh Oai,"Thanh Oai, Hà Nội","Xã Thanh Oai, Thành phố Hà Nội",13323,11
13579,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Bình Minh,xa,binh-minh,Xã Bình Minh,"Bình Minh, Hà Nội","Xã Bình Minh, Thành phố Hà Nội",13579,11
13835,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Dân Hòa,xa,dan-hoa,Xã Dân Hòa,"Dân Hòa, Hà Nội","Xã Dân Hòa, Thành phố Hà Nội",13835,11
14091,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ba Đình,phuong,ba-dinh,Phường Ba Đình,"Ba Đình, Hà Nội","Phường Ba Đình, Thành phố Hà Nội",14091,11
14347,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Giảng Võ,phuong,giang-vo,Phường Giảng Võ,"Giảng Võ, Hà Nội","Phường Giảng Võ, Thành phố Hà Nội",14347,11
14603,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ngọc Hà,phuong,ngoc-ha,Phường Ngọc Hà,"Ngọc Hà, Hà Nội","Phường Ngọc Hà, Thành phố Hà Nội",14603,11
14859,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Cầu Giấy,phuong,cau-giay,Phường Cầu Giấy,"Cầu Giấy, Hà Nội","Phường Cầu Giấy, Thành phố Hà Nội",14859,11
15115,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Nghĩa Đô,phuong,nghia-do,Phường Nghĩa Đô,"Nghĩa Đô, Hà Nội","Phường Nghĩa Đô, Thành phố Hà Nội",15115,11
15371,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phù Đổng,xa,phu-dong,Xã Phù Đổng,"Phù Đổng, Hà Nội","Xã Phù Đổng, Thành phố Hà Nội",15371,11
15627,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hoài Đức,xa,hoai-duc,Xã Hoài Đức,"Hoài Đức, Hà Nội","Xã Hoài Đức, Thành phố Hà Nội",15627,11
15883,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,An Khánh,xa,an-khanh,Xã An Khánh,"An Khánh, Hà Nội","Xã An Khánh, Thành phố Hà Nội",15883,11
16139,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phúc Sơn,xa,phuc-son,Xã Phúc Sơn,"Phúc Sơn, Hà Nội","Xã Phúc Sơn, Thành phố Hà Nội",16139,11
16395,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Sơn Đồng,xa,son-dong,Xã Sơn Đồng,"Sơn Đồng, Hà Nội","Xã Sơn Đồng, Thành phố Hà Nội",16395,11
16651,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Chuyên Mỹ,xa,chuyen-my,Xã Chuyên Mỹ,"Chuyên Mỹ, Hà Nội","Xã Chuyên Mỹ, Thành phố Hà Nội",16651,11
16907,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Vĩnh Tuy,phuong,vinh-tuy,Phường Vĩnh Tuy,"Vĩnh Tuy, Hà Nội","Phường Vĩnh Tuy, Thành phố Hà Nội",16907,11
17163,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hồng Hà,phuong,hong-ha,Phường Hồng Hà,"Hồng Hà, Hà Nội","Phường Hồng Hà, Thành phố Hà Nội",17163,11
17419,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Cửa Nam,phuong,cua-nam,Phường Cửa Nam,"Cửa Nam, Hà Nội","Phường Cửa Nam, Thành phố Hà Nội",17419,11
17675,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Yên Nghĩa,phuong,yen-nghia,Phường Yên Nghĩa,"Yên Nghĩa, Hà Nội","Phường Yên Nghĩa, Thành phố Hà Nội",17675,11
17931,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hồng Vân,xa,hong-van,Xã Hồng Vân,"Hồng Vân, Hà Nội","Xã Hồng Vân, Thành phố Hà Nội",17931,11
18187,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Vĩnh Hưng,phuong,vinh-hung,Phường Vĩnh Hưng,"Vĩnh Hưng, Hà Nội","Phường Vĩnh Hưng, Thành phố Hà Nội",18187,11
18443,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Bồ Đề,phuong,bo-de,Phường Bồ Đề,"Bồ Đề, Hà Nội","Phường Bồ Đề, Thành phố Hà Nội",18443,11
18699,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Kiều Phú,xa,kieu-phu,Xã Kiều Phú,"Kiều Phú, Hà Nội","Xã Kiều Phú, Thành phố Hà Nội",18699,11
18955,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phú Cát,xa,phu-cat,Xã Phú Cát,"Phú Cát, Hà Nội","Xã Phú Cát, Thành phố Hà Nội",18955,11
19211,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Sóc Sơn,xa,soc-son,Xã Sóc Sơn,"Sóc Sơn, Hà Nội","Xã Sóc Sơn, Thành phố Hà Nội",19211,11
19467,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Kim Anh,xa,kim-anh,Xã Kim Anh,"Kim Anh, Hà Nội","Xã Kim Anh, Thành phố Hà Nội",19467,11
19723,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Nội Bài,xa,noi-bai,Xã Nội Bài,"Nội Bài, Hà Nội","Xã Nội Bài, Thành phố Hà Nội",19723,11
19979,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Trung Giã,xa,trung-gia,Xã Trung Giã,"Trung Giã, Hà Nội","Xã Trung Giã, Thành phố Hà Nội",19979,11
20235,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Quốc Oai,xa,quoc-oai,Xã Quốc Oai,"Quốc Oai, Hà Nội","Xã Quốc Oai, Thành phố Hà Nội",20235,11
20491,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Long Biên,phuong,long-bien,Phường Long Biên,"Long Biên, Hà Nội","Phường Long Biên, Thành phố Hà Nội",20491,11
